Player,Role,Amount,Player Origin,Hand,Value
Abhishek Nayar,All-Rounder,50625000,Indian,Left,7
Akila Dananjaya,All-Rounder,1500000,Overseas,Left,7
Aman Khan,All-Rounder,2000000,Indian,Left,7
Ankit Sharma,All-Rounder,1000000,Indian,Left,7
Aryaman Vikram Birla,All-Rounder,3000000,Indian,Left,7
Aaron Finch,Batsman,40000000,Overseas,Left,5
Ajinkya Rahane,Batsman,40000000,Indian,Left,5
Armaan Jaffer,Batsman,1000000,Indian,Left,5
Brad Hodge,Batsman,24000000,Overseas,Left,5
Chirag Suri,Batsman,1000000,Indian,Left,5
David Miller,Batsman,30000000,Overseas,Left,5
Shreyas Gopal,Fast-Bowler,1000000,Indian,Left,6
Siddarth Kaul,Fast-Bowler,4500000,Indian,Left,6
Siddharth Kaul,Fast-Bowler,7500000,Indian,Left,6
Simarjeet Singh,Fast-Bowler,2000000,Indian,Left,6
Sudeep Tyagi,Fast-Bowler,7500000,Indian,Left,6
T. Natarajan,Fast-Bowler,40000000,Indian,Left,6
Tushar Deshpande,Fast-Bowler,2000000,Indian,Left,6
Veer Pratap Singh,Fast-Bowler,4000000,Indian,Left,6
Yuzvendra Chahal,Fast-Bowler,65000000,Indian,Left,6
Saurabh Tiwary,Opener,7000000,Indian,Left,6
Shikhar Dhawan,Opener,52000000,Indian,Left,6
Srikkanth Anirudha,Opener,2000000,Indian,Left,6
Tanmay Mishra,Opener,1000000,Indian,Left,6
Unmukt Chand,Opener,6500000,Indian,Left,6
Virender Sehwag,Opener,32000000,Indian,Left,6
Matthew Wade,Spinner,24000000,Overseas,Left,6
N Jagadeesan,Spinner,2000000,Indian,Left,6
Parthiv Patel,Spinner,14000000,Indian,Left,6
Rishabh Pant,Spinner,19000000,Indian,Left,6
Sushant Marathe,Spinner,1000000,Indian,Left,6
Alex Carey,Wicket Keeper,24000000,Overseas,Left,5
Anuj Rawat,Wicket Keeper,8000000,Indian,Left,5
Brendon McCullum,Wicket Keeper,32500000,Overseas,Left,5
Dishant Yagnik,Wicket Keeper,3000000,Indian,Left,5
Jitesh Sharma,Wicket Keeper,1000000,Indian,Left,5
K.S. Bharat,Wicket Keeper,20000000,Indian,Left,5
Abdul Samad,All-Rounder,2000000,Indian,Right,6
Abhishek Sharma,All-Rounder,5500000,Indian,Right,6
Aditya Garhwal,All-Rounder,2500000,Indian,Right,6
Agnivesh Ayachi,All-Rounder,2000000,Indian,Right,6
Akhil Arvind Herwadkar,All-Rounder,1000000,Indian,Right,6
Akshar Rajesh Patel,All-Rounder,7500000,Indian,Right,6
Akshay Karnewar,All-Rounder,1000000,Indian,Right,6
Akshdeep Nath,All-Rounder,1000000,Indian,Right,6
Albie Morkel,All-Rounder,24000000,Overseas,Right,6
Andre Russell,All-Rounder,6000000,Overseas,Right,6
Aneeshwar Gautam,All-Rounder,2000000,Indian,Right,6
Angelo Mathews,All-Rounder,75000000,Overseas,Right,6
